,Hydraulic_Pressure(bar),Spindle_Speed(RPM),Torque(Nm),Cutting(kN),Downtime
122,99.39,23432.0,14.20288973,2.76,Machine_Failure
123,76.97,20801.0,16.44955444,2.47,Machine_Failure
124,71.75,25528.0,15.90071615,3.53,Machine_Failure
125,55.15,17919.0,17.89931102,2.71,Machine_Failure
126,93.1,27957.0,16.96410507,2.64,Machine_Failure
127,91.92,21951.0,16.44955444,3.69,Machine_Failure
128,134.9818453,22734.0,20.99947216,2.88,No_Machine_Failure
129,91.1738057,22851.0,35.5812209,3.01,No_Machine_Failure
130,162.9963,22874.0,28.38124,1.87,No_Machine_Failure
131,107.4031822,22807.0,20.93225764,1.99,No_Machine_Failure
132,143.8245061,22690.0,35.5812209,1.95,No_Machine_Failure
133,131.3817088,22870.0,30.51400825,3.1,No_Machine_Failure
134,115.0651448,22809.0,35.5812209,3.02,No_Machine_Failure
135,115.8137359,22842.0,32.37045571,2.97,No_Machine_Failure
136,125.2182918,22833.0,34.97300419,2.97,No_Machine_Failure
137,100.922193,22696.0,34.97300419,2.91,No_Machine_Failure
138,141.6807075,22796.0,33.92336502,3.06,No_Machine_Failure
139,141.7204771,22858.0,32.51929855,3.1,No_Machine_Failure
140,130.7696259,22858.0,31.62033518,1.95,No_Machine_Failure
141,115.6612125,22684.0,30.51400825,1.99,No_Machine_Failure
142,101.5518705,22860.0,20.88372703,1.88,No_Machine_Failure
143,111.1316179,14266.0,22.86955689,1.87,No_Machine_Failure
144,94.3,19667.0,24.27426654,2.63,Machine_Failure
145,114.1963231,20878.0,22.86627072,1.91,No_Machine_Failure
146,115.8742504,17726.0,22.86517554,2.02,No_Machine_Failure
147,137.725198,13272.0,22.91456273,1.85,No_Machine_Failure
148,89.69829109,18436.0,22.81600076,2.17,No_Machine_Failure
149,121.0,27957.0,24.27426654,2.92,Machine_Failure
150,94.3,19657.0,16.44955444,3.55,Machine_Failure
151,59.65,19679.0,24.2594644,3.58,Machine_Failure
152,82.23,19671.0,24.26933049,3.93,Machine_Failure
153,58.18,20504.0,24.15390842,2.78,Machine_Failure
154,73.63,21951.0,24.19552988,2.58,Machine_Failure
155,112.4306642,20624.0,23.14788596,1.89,No_Machine_Failure
156,147.7297129,20671.0,34.97300419,2.9,No_Machine_Failure
157,124.9278409,20419.0,23.38028307,2.63,No_Machine_Failure
158,140.5744191,20421.0,23.37799324,1.86,No_Machine_Failure
159,61.89,26526.0,25.64884758,2.52,Machine_Failure
160,107.931661,20418.0,23.38142815,2.71,No_Machine_Failure
161,111.7500504,20449.0,23.34598269,2.95,No_Machine_Failure
162,111.8191497,20418.0,23.38142815,1.88,No_Machine_Failure
163,127.5308711,20449.0,23.34598269,1.95,No_Machine_Failure
164,74.46,26605.0,25.64884758,2.55,Machine_Failure
165,86.44,27613.0,25.64746965,2.69,Machine_Failure
166,51.83,18898.0,25.26203831,2.56,Machine_Failure
167,82.47,18850.0,25.32636605,2.67,Machine_Failure
168,71.64,18852.0,25.32367919,2.63,Machine_Failure
169,98.82,18896.0,25.26471211,2.73,Machine_Failure
170,70.4,18884.0,25.28076679,2.57,Machine_Failure
171,86.78,18873.0,25.29550151,2.46,Machine_Failure
172,63.81,18900.0,25.25936508,2.47,Machine_Failure
173,80.28,18900.0,25.25936508,2.5,Machine_Failure
174,64.26,18880.0,25.28612288,2.81,Machine_Failure
175,73.41,18902.0,25.25669241,2.74,Machine_Failure
176,117.4018051,22786.0,20.9515492,2.02,No_Machine_Failure
177,77.84,18804.0,25.38832163,2.69,Machine_Failure
178,66.22,18872.0,25.29684188,2.55,Machine_Failure
179,83.86,18877.0,25.29014144,3.49,Machine_Failure
180,94.72,23432.0,25.27139908,2.73,Machine_Failure
181,115.4623124,23007.0,34.97300419,3.2,No_Machine_Failure
182,142.1885663,23015.0,35.5812209,3.32,No_Machine_Failure
183,125.4765988,23017.0,32.37045571,1.92,No_Machine_Failure
184,123.3352471,23036.0,35.58033366,3.09,No_Machine_Failure
185,148.6975968,23035.0,30.51400825,3.27,No_Machine_Failure
186,137.5388771,22760.0,31.62033518,3.06,No_Machine_Failure
187,132.4456336,22717.0,35.5812209,2.93,No_Machine_Failure
188,130.8490799,17726.0,20.86000175,3.22,No_Machine_Failure
189,134.7344374,18436.0,20.86638402,3.27,No_Machine_Failure
190,100.4457505,19197.0,20.96719224,2.99,No_Machine_Failure
191,112.5134645,13272.0,28.38124,3.16,No_Machine_Failure
192,71.68,18852.0,25.32367919,3.91,Machine_Failure
193,118.8846354,22771.0,20.96535067,3.0,No_Machine_Failure
194,63.64,18875.0,25.29282119,3.59,Machine_Failure
195,157.47,18889.0,25.27407486,2.61,Machine_Failure
196,121.86,18888.0,16.44955444,2.54,Machine_Failure
197,79.83,18902.0,15.90071615,3.36,Machine_Failure
198,125.2816829,15217.0,20.97732665,1.88,No_Machine_Failure
199,106.3814897,22773.0,20.96350942,2.01,No_Machine_Failure
200,95.1,26526.0,24.22499619,3.55,Machine_Failure
201,124.9364624,22214.0,32.37045571,3.09,No_Machine_Failure
202,61.21,17919.0,24.11364784,3.61,Machine_Failure
203,61.2,20801.0,24.0638137,3.69,Machine_Failure
204,55.29,23432.0,24.21393792,3.67,Machine_Failure
205,53.45,26605.0,24.02989883,3.58,Machine_Failure
206,121.0,27613.0,24.21393792,3.55,Machine_Failure
207,157.47,21951.0,24.05532601,2.93,Machine_Failure
208,85.1,20504.0,24.20043595,3.93,Machine_Failure
209,69.49,21951.0,24.13925267,3.59,Machine_Failure
210,67.94,27957.0,24.13193146,3.49,Machine_Failure
211,71.06,17919.0,24.12339565,3.91,Machine_Failure
212,90.89,25528.0,24.11852076,3.61,Machine_Failure
213,123.4926704,14266.0,21.41200215,3.02,No_Machine_Failure
214,87.45,27957.0,24.05775045,2.94,Machine_Failure
215,98.49,19770.0,24.1477997,2.76,Machine_Failure
216,137.6178643,14266.0,32.37045571,1.99,No_Machine_Failure
217,90.94,23432.0,24.21148189,2.9,Machine_Failure
218,137.6843499,22294.0,30.51400825,2.92,No_Machine_Failure
219,154.0503708,22246.0,31.62033518,3.23,No_Machine_Failure
220,85.04536536,16198.0,21.88511965,2.83,No_Machine_Failure
221,124.6923147,13272.0,29.86907925,3.0,No_Machine_Failure
222,122.0287909,19197.0,21.53369418,2.85,No_Machine_Failure
223,93.99138933,18436.0,21.86206897,1.95,No_Machine_Failure
224,131.6365449,17726.0,21.66365658,2.85,No_Machine_Failure
225,141.3716044,13272.0,34.97300419,3.08,No_Machine_Failure
226,117.7085579,14152.0,35.5812209,1.88,No_Machine_Failure
227,141.2648858,15217.0,21.50362596,3.22,No_Machine_Failure
228,121.86,20504.0,24.25453437,2.89,Machine_Failure
229,60.41,26605.0,24.36843449,2.76,Machine_Failure
230,100.5678418,20889.0,35.5812209,1.95,No_Machine_Failure
231,124.3522978,21186.0,32.37045571,2.74,No_Machine_Failure
232,112.4504743,13272.0,33.92336502,2.11,No_Machine_Failure
233,170.8247625,14152.0,34.97300419,1.85,No_Machine_Failure
234,121.8694483,20896.0,34.97300419,1.99,No_Machine_Failure
235,170.8247625,16198.0,35.58033366,2.88,No_Machine_Failure
236,88.33477872,15217.0,32.37045571,1.87,No_Machine_Failure
237,154.825822,21025.0,35.58033366,2.7,No_Machine_Failure
238,121.9742799,19197.0,32.51929855,2.17,No_Machine_Failure
239,103.7258973,14266.0,35.5812209,1.86,No_Machine_Failure
240,76.69,23432.0,23.88921137,3.55,Machine_Failure
241,88.16,26526.0,23.89040685,2.85,Machine_Failure
242,83.64,27613.0,23.9023682,2.58,Machine_Failure
243,124.2278676,17726.0,30.51400825,3.0,No_Machine_Failure
244,145.6820707,18436.0,31.62033518,2.02,No_Machine_Failure
245,86.16,18619.0,25.6405822,2.77,Machine_Failure
246,92.13,26526.0,25.64333674,3.69,Machine_Failure
247,71.18,23432.0,25.64471422,3.67,Machine_Failure
248,94.17,18617.0,25.64333674,2.78,Machine_Failure
249,71.75,25528.0,25.63645151,3.67,Machine_Failure
250,74.82,18621.0,25.63782826,2.56,Machine_Failure
251,159.2557648,17726.0,33.92336502,2.69,No_Machine_Failure
252,76.48,26155.0,25.64609186,2.77,Machine_Failure
253,93.54,18617.0,25.64333674,2.69,Machine_Failure
254,82.15,18621.0,25.63782826,2.45,Machine_Failure
255,94.76,18617.0,25.64333674,2.72,Machine_Failure
256,62.64,18819.0,25.36808545,3.49,Machine_Failure
257,55.12,26605.0,25.37617605,3.55,Machine_Failure
258,68.31,20504.0,25.35057349,3.55,Machine_Failure
259,61.18,21951.0,25.35865293,3.58,Machine_Failure
260,121.86,18824.0,25.36134722,3.93,Machine_Failure
261,157.47,18824.0,25.36134722,3.59,Machine_Failure
262,79.13,18803.0,25.38967186,2.48,Machine_Failure
263,60.95,18813.0,25.37617605,3.91,Machine_Failure
264,138.9109883,23123.0,20.64619643,2.99,No_Machine_Failure
265,93.28,18776.0,25.42618236,3.55,Machine_Failure
266,77.2,18784.0,,2.57,Machine_Failure
267,117.8074037,23096.0,30.51400825,3.23,No_Machine_Failure
268,105.1954291,22921.0,35.58033366,3.32,No_Machine_Failure
269,117.9325049,22926.0,20.82360639,3.09,No_Machine_Failure
270,110.4003983,22989.0,20.76654052,3.04,No_Machine_Failure
271,98.13613692,23040.0,20.72057292,3.19,No_Machine_Failure
272,134.8331238,23079.0,20.6855583,3.34,No_Machine_Failure
273,126.479953,23090.0,20.67570377,3.19,No_Machine_Failure
274,99.23632382,22905.0,20.8426981,2.98,No_Machine_Failure
275,117.363402,23118.0,35.58033366,3.06,No_Machine_Failure
276,111.9864263,23075.0,35.5812209,2.02,No_Machine_Failure
277,61.07,18778.0,25.42347428,2.7,Machine_Failure
278,92.28,18836.0,25.34519006,3.55,Machine_Failure
279,97.74,18784.0,25.41535349,2.76,Machine_Failure
280,79.8,18849.0,25.32770969,2.56,Machine_Failure
281,90.94,18795.0,25.40047885,2.54,Machine_Failure
282,74.3,18796.0,25.39912747,2.74,Machine_Failure
283,53.7,18801.0,25.39237275,2.46,Machine_Failure
284,84.18,18796.0,25.39912747,2.52,Machine_Failure
285,83.61,18803.0,25.38967186,2.67,Machine_Failure
286,79.76,19897.0,23.99366739,2.88,Machine_Failure
287,91.73,27613.0,23.978001,3.67,Machine_Failure
288,155.0,19927.0,23.95754504,3.55,Machine_Failure
289,57.35,19755.0,24.16613516,2.78,Machine_Failure
290,63.56,20504.0,23.88443066,3.69,Machine_Failure
291,132.5935379,22051.0,31.6499025,3.16,No_Machine_Failure
292,68.96,25528.0,23.978001,3.59,Machine_Failure
293,157.2879336,22072.0,21.6293041,2.85,No_Machine_Failure
294,119.7278521,19197.0,32.51929855,1.88,No_Machine_Failure
295,112.1586209,13272.0,33.92336502,1.99,No_Machine_Failure
296,94.11683041,14152.0,34.97300419,1.95,No_Machine_Failure
297,102.6460115,14266.0,35.5812209,2.89,No_Machine_Failure
298,107.8408889,15217.0,32.37045571,2.86,No_Machine_Failure
299,125.5726631,16198.0,35.58033366,3.22,No_Machine_Failure
300,135.6459871,17726.0,21.57456616,2.89,No_Machine_Failure
301,86.42,17919.0,24.15146456,3.93,Machine_Failure
302,62.22,23432.0,23.87606902,3.49,Machine_Failure
303,101.2515747,22125.0,21.57749153,3.01,No_Machine_Failure
304,83.64,26526.0,23.87606902,3.91,Machine_Failure
305,69.29,27613.0,24.02022642,3.61,Machine_Failure
306,77.46,26605.0,23.96957373,3.67,Machine_Failure
307,98.48160138,17726.0,30.51400825,1.87,No_Machine_Failure
308,100.5120425,22081.0,21.6204882,3.07,No_Machine_Failure
309,141.1572045,22168.0,21.53563695,2.87,No_Machine_Failure
310,157.761218,22167.0,21.53660847,3.01,No_Machine_Failure
311,121.386864,22310.0,21.39856567,3.15,No_Machine_Failure
312,101.6574135,18436.0,31.62033518,2.88,No_Machine_Failure
313,145.6007457,18436.0,31.62033518,2.88,No_Machine_Failure
314,111.8119547,17726.0,30.51400825,1.87,No_Machine_Failure
315,120.2259923,21166.0,35.58033366,1.86,No_Machine_Failure
316,118.0076619,21135.0,22.58821859,1.85,No_Machine_Failure
317,89.76794082,21164.0,22.55726706,2.11,No_Machine_Failure
318,121.86,20504.0,24.3386184,3.55,Machine_Failure
319,157.47,21951.0,24.34730722,3.55,Machine_Failure
320,88.51,27957.0,24.34110029,3.58,Machine_Failure
321,115.7760929,20705.0,23.05732915,2.17,No_Machine_Failure
322,160.0302476,20692.0,,2.02,No_Machine_Failure
323,137.8757117,20441.0,33.35511961,1.91,No_Machine_Failure
324,148.3981821,20441.0,23.35511961,2.69,No_Machine_Failure
325,147.1670083,20440.0,33.35626223,2.01,No_Machine_Failure
326,55.58,27613.0,25.69301975,3.69,Machine_Failure
327,69.66,26605.0,25.69578556,3.67,Machine_Failure
328,70.74977393,13272.0,32.37045571,3.33,No_Machine_Failure
329,128.9591432,22944.0,20.80726987,1.95,No_Machine_Failure
330,116.6516877,22929.0,35.58033366,1.99,No_Machine_Failure
331,91.45755882,22930.0,30.51400825,1.95,No_Machine_Failure
332,106.2246934,22956.0,32.51929855,3.05,No_Machine_Failure
333,60.81,17919.0,25.3424992,2.55,Machine_Failure
334,99.94,26526.0,26.47526619,2.37,Machine_Failure
335,56.5,27613.0,28.69692234,2.19,Machine_Failure
336,77.99,20504.0,28.67107081,2.22,Machine_Failure
337,71.49,21951.0,28.68657613,2.46,Machine_Failure
338,95.17,27957.0,28.63152213,2.49,Machine_Failure
339,77.75,21951.0,28.60236055,3.67,Machine_Failure
340,80.23,25528.0,28.72109253,2.17,Machine_Failure
341,64.78,20801.0,25.3424992,2.58,Machine_Failure
342,52.8,23432.0,28.62808827,3.61,Machine_Failure
343,88.73,26526.0,28.71763715,3.67,Machine_Failure
344,82.74,17092.0,27.93131289,2.57,Machine_Failure
345,64.98,18030.0,26.478203,2.68,Machine_Failure
346,71.55,18032.0,26.47526619,2.45,Machine_Failure
347,97.24,18847.0,25.33039741,3.55,Machine_Failure
348,92.51,16606.0,28.74876551,3.55,Machine_Failure
349,153.2514276,22959.0,33.92336502,3.09,No_Machine_Failure
350,83.78,26605.0,28.71245564,2.28,Machine_Failure
351,82.34,19891.0,24.00090493,2.72,Machine_Failure
352,82.54,19945.0,23.93592379,2.66,Machine_Failure
353,94.55,19930.0,23.95393879,3.58,Machine_Failure
354,83.17,19893.0,23.99849193,2.8,Machine_Failure
355,98.95,19891.0,24.00090493,2.72,Machine_Failure
356,60.19,19691.0,24.24468031,2.84,Machine_Failure
357,83.12,19951.0,23.92872538,2.76,Machine_Failure
358,61.95,19882.0,24.01176944,2.89,Machine_Failure
359,59.1,19965.0,23.91194591,2.62,Machine_Failure
360,97.45,19578.0,24.38461538,2.89,Machine_Failure
361,131.1343222,21423.0,22.28455398,2.17,No_Machine_Failure
362,150.2788971,21423.0,22.28455398,2.11,No_Machine_Failure
363,143.1816086,21417.0,22.29079703,1.85,No_Machine_Failure
364,106.5459096,21412.0,22.29600224,1.86,No_Machine_Failure
365,106.3956827,21712.0,21.98793294,2.88,No_Machine_Failure
366,69.58,19627.0,24.32373771,2.62,Machine_Failure
367,113.8246063,14266.0,32.37045571,2.89,No_Machine_Failure
368,57.95490946,18436.0,32.51929855,3.01,No_Machine_Failure
369,119.7085582,15217.0,35.58033366,3.1,No_Machine_Failure
370,85.53,19637.0,24.31135102,3.65,Machine_Failure
371,121.4496961,16198.0,30.51400825,2.82,No_Machine_Failure
372,90.52,19237.0,24.81686334,2.72,Machine_Failure
373,95.35,19238.0,24.81557334,2.7,Machine_Failure
374,72.66,19241.0,24.81170417,2.57,Machine_Failure
375,79.87,19251.0,24.79881565,2.48,Machine_Failure
376,111.2872799,17726.0,31.62033518,3.06,No_Machine_Failure
377,95.54,19234.0,24.82073412,3.91,Machine_Failure
378,157.47,18467.0,25.85162723,3.59,Machine_Failure
379,121.86,18464.0,25.85582756,3.93,Machine_Failure
380,93.08,18467.0,25.85162723,3.49,Machine_Failure
381,145.3096515,20472.0,33.92336502,2.85,No_Machine_Failure
382,92.92,23432.0,25.75122714,3.49,Machine_Failure
383,62.67,26526.0,25.77207946,3.91,Machine_Failure
384,125.95,23231.0,25.77347082,3.65,Machine_Failure
385,148.8378499,20587.0,30.51400825,2.97,No_Machine_Failure
386,150.5537239,20570.0,32.51929855,2.75,No_Machine_Failure
387,62.66,20801.0,25.70685477,3.59,Machine_Failure
388,85.49258808,17726.0,32.37045571,2.99,No_Machine_Failure
389,93.45,25528.0,25.77347082,3.93,Machine_Failure
390,125.5707982,18436.0,35.58033366,2.02,No_Machine_Failure
391,148.231094,19197.0,33.92336502,2.93,No_Machine_Failure
392,95.20213175,14152.0,35.5812209,2.87,No_Machine_Failure
393,99.36,27613.0,25.78042985,2.52,Machine_Failure
394,87.08,26605.0,25.78042985,2.54,Machine_Failure
395,85.65,20801.0,25.77625398,2.68,Machine_Failure
396,142.6132048,20570.0,23.20865338,1.89,No_Machine_Failure
397,127.5209543,16198.0,32.51929855,1.95,No_Machine_Failure
398,83.8239862,14266.0,30.51400825,1.88,No_Machine_Failure
399,123.0202108,15217.0,31.62033518,1.99,No_Machine_Failure
400,117.6674203,14266.0,21.05411246,2.97,No_Machine_Failure
401,146.4883886,17726.0,33.92336502,1.89,No_Machine_Failure
402,149.2385444,15217.0,34.97300419,2.11,No_Machine_Failure
403,116.77999,22505.0,34.97300419,3.06,No_Machine_Failure
404,128.1827102,22486.0,32.51929855,1.99,No_Machine_Failure
405,104.3146858,22489.0,35.5812209,3.16,No_Machine_Failure
406,143.0770939,22417.0,31.62033518,1.88,No_Machine_Failure
407,167.2508236,22331.0,30.51400825,2.88,No_Machine_Failure
408,149.1793342,16198.0,35.5812209,1.85,No_Machine_Failure
409,126.488316,14266.0,33.92336502,2.17,No_Machine_Failure
410,127.2794473,15217.0,21.20749856,3.18,No_Machine_Failure
411,99.11072758,13272.0,32.37045571,3.0,No_Machine_Failure
412,100.8281388,19197.0,35.5812209,2.01,No_Machine_Failure
413,112.9781364,18436.0,34.97300419,1.91,No_Machine_Failure
414,113.7048826,22470.0,32.37045571,2.96,No_Machine_Failure
415,121.1015146,16198.0,21.27270297,2.99,No_Machine_Failure
416,94.19275126,13272.0,,3.04,No_Machine_Failure
417,71.04,16592.0,28.77302314,3.65,Machine_Failure
418,172.815982,14152.0,21.20844069,3.03,No_Machine_Failure
419,93.53,21951.0,28.50501552,3.55,Machine_Failure
420,83.07,16775.0,28.45913562,2.21,Machine_Failure
421,51.32,26526.0,,3.61,Machine_Failure
422,79.76,23432.0,28.58181165,2.33,Machine_Failure
423,145.98,16797.0,28.42186105,2.38,Machine_Failure
424,75.62,16701.0,28.58523442,2.41,Machine_Failure
425,96.86,16775.0,28.45913562,2.51,Machine_Failure
426,79.51,27957.0,28.48460621,3.55,Machine_Failure
427,76.74,16704.0,28.58010057,2.31,Machine_Failure
428,92.21,27613.0,28.55616701,3.67,Machine_Failure
429,72.34,26605.0,28.5510436,3.69,Machine_Failure
430,85.13,20504.0,28.5493362,3.67,Machine_Failure
431,54.71,17919.0,28.44726493,3.58,Machine_Failure
432,137.37,27613.0,24.68724791,3.61,Machine_Failure
433,137.1867464,17726.0,22.21921251,3.11,No_Machine_Failure
434,101.8965424,13272.0,22.25857889,2.91,No_Machine_Failure
435,130.6345481,14266.0,22.23577084,2.84,No_Machine_Failure
436,63.76,25555.0,24.72432544,2.71,Machine_Failure
437,100.1580973,15217.0,22.21714445,3.03,No_Machine_Failure
438,138.2086377,19197.0,33.35511961,2.94,No_Machine_Failure
439,139.34,19289.0,24.74996112,2.61,Machine_Failure
440,127.5823982,15217.0,22.30641996,2.88,No_Machine_Failure
441,80.27,19339.0,24.68597135,2.86,Machine_Failure
442,134.02,20504.0,24.74482973,3.69,Machine_Failure
443,135.93,26605.0,24.72944833,3.67,Machine_Failure
444,142.36,19316.0,24.7153655,2.54,Machine_Failure
445,64.25,19348.0,24.67448832,2.6,Machine_Failure
446,95.58,19340.0,24.68469493,2.86,Machine_Failure
447,68.6,19349.0,24.67321309,2.59,Machine_Failure
448,121.4308068,21473.0,35.58033366,2.02,No_Machine_Failure
449,86.42,19321.0,24.70896952,2.76,Machine_Failure
450,101.3247628,19197.0,22.26584581,2.9,No_Machine_Failure
451,140.6438248,18436.0,22.25235387,2.89,No_Machine_Failure
